priority,symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,ffmc,yearHigh,yearLow,totalTradedVolume,stockIndClosePrice,totalTradedValue,lastUpdateTime,nearWKH,nearWKL,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,chartTodayPath,series,meta.symbol,meta.companyName,meta.industry,meta.activeSeries,meta.debtSeries,meta.isFNOSec,meta.isCASec,meta.isSLBSec,meta.isDebtSec,meta.isSuspended,meta.tempSuspendedSeries,meta.isETFSec,meta.isDelisted,meta.isin,meta.slb_isin,meta.listingDate,meta.isMunicipalBond,meta.isHybridSymbol,meta.quotepreopenstatus.equityTime,meta.quotepreopenstatus.preOpenTime,meta.quotepreopenstatus.QuotePreOpenFlag
1,NIFTY TOTAL MARKET,NIFTY TOTAL MARKET,12353.25,12479.35,12352.0,12457.05,12364.25,92.79999999999927,0.75,1904315327.24,13842.6,6252.1,967344301,0,351670540534.3,02-May-2025 10:43:47,10.009319058558372,-99.24585339325984,4.73,30-Apr-2024,https://nsearchives.nseindia.com/365d/NIFTY-TOTAL-MKT.svg,01-Apr-2025,4.4,https://nsearchives.nseindia.com/30d/NIFTY-TOTAL-MKT.svg,https://nsearchives.nseindia.com/today/NIFTY-TOTAL-MKT.svg,,,,,,,,,,,,,,,,,,,,,,
0,RAILTEL,RAILTELEQN,313.65,336.4,313.65,333.65,296.05,37.6,12.7,29076159270.42,617.8,265.5,20547788,0,6722619799.96,,45.993849142117185,-25.668549905838034,-25.91,30-Apr-2024,https://nsearchives.nseindia.com/365d/RAILTEL-EQ.svg,01-Apr-2025,-1.78,https://nsearchives.nseindia.com/30d/RAILTEL-EQ.svg,https://nsearchives.nseindia.com/today/RAILTELEQN.svg,EQ,RAILTEL,Railtel Corporation Of India Limited,Other Telecom Services,"['EQ', 'T0']",[],False,False,True,False,False,[],False,False,INE0DD101019,INE0DD101019,2021-02-26,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,MOIL,MOILEQN,323.5,355.0,322.95,351.4,315.8,35.6,11.27,25227216793.21,588.0,274.05,4639046,0,1590450530.64,,40.23809523809524,-28.224776500638555,-22.26,30-Apr-2024,https://nsearchives.nseindia.com/365d/MOIL-EQ.svg,01-Apr-2025,-3.7,https://nsearchives.nseindia.com/30d/MOIL-EQ.svg,https://nsearchives.nseindia.com/today/MOILEQN.svg,EQ,MOIL,MOIL Limited,Industrial Minerals,['EQ'],[],False,False,True,False,False,[],False,False,INE490G01020,INE490G01020,2010-12-15,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,NEWGEN,NEWGENEQN,988.55,1092.0,967.25,1092.0,986.55,105.45,10.69,68899753305.81,1798.9,758.2,1404308,0,1477963954.6,,39.296236589026634,-44.025323133737785,6.19,30-Apr-2024,https://nsearchives.nseindia.com/365d/NEWGEN-EQ.svg,01-Apr-2025,-0.55,https://nsearchives.nseindia.com/30d/NEWGEN-EQ.svg,https://nsearchives.nseindia.com/today/NEWGENEQN.svg,EQ,NEWGEN,Newgen Software Technologies Limited,Computers - Software & Consulting,['EQ'],[],False,False,True,False,False,[],False,False,INE619B01017,INE619B01017,2018-01-29,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,FORCEMOT,FORCEMOTEQN,8910.0,9789.0,8892.0,9744.5,8914.0,830.5,9.32,46773943582.44,9880.0,6125.0,243188,0,2321535876.88,,1.3714574898785425,-59.093877551020405,-6.39,30-Apr-2024,https://nsearchives.nseindia.com/365d/FORCEMOT-EQ.svg,01-Apr-2025,0.56,https://nsearchives.nseindia.com/30d/FORCEMOT-EQ.svg,https://nsearchives.nseindia.com/today/FORCEMOTEQN.svg,EQ,FORCEMOT,FORCE MOTORS LTD,Passenger Cars & Utility Vehicles,['EQ'],[],False,False,True,False,False,[],False,False,INE451A01017,INE451A01017,2024-02-14,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,NUVOCO,NUVOCOEQN,351.0,354.05,337.0,344.15,319.25,24.9,7.8,34393787717.31,385.65,287.05,2018386,0,696706479.48,,10.761052768053936,-19.89200487719908,-5.71,30-Apr-2024,https://nsearchives.nseindia.com/365d/NUVOCO-EQ.svg,01-Apr-2025,1.67,https://nsearchives.nseindia.com/30d/NUVOCO-EQ.svg,https://nsearchives.nseindia.com/today/NUVOCOEQN.svg,EQ,NUVOCO,Nuvoco Vistas Corporation Limited,Cement & Cement Products,['EQ'],[],False,False,True,False,False,[],False,False,INE118D01016,INE118D01016,2021-08-23,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,SONATSOFTW,SONATSOFTWEQN,419.0,459.0,403.2,453.85,421.55,32.3,7.66,88140885355.48,763.7,286.4,19835342,0,8722393291.08,,40.57221422024355,-58.46717877094974,-39.01,30-Apr-2024,https://nsearchives.nseindia.com/365d/SONATSOFTW-EQ.svg,01-Apr-2025,20.93,https://nsearchives.nseindia.com/30d/SONATSOFTW-EQ.svg,https://nsearchives.nseindia.com/today/SONATSOFTWEQN.svg,EQ,SONATSOFTW,Sonata Software Limited,Computers - Software & Consulting,['EQ'],[],False,False,True,False,False,[],False,False,INE269A01021,INE269A01021,1999-07-28,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,JUBLINGREA,JUBLINGREAEQN,678.0,686.0,650.0,685.5,642.45,43.05,6.7,50803066835.5,885.0,462.3,501374,0,336512201.32,,22.54237288135593,-48.28033744321869,16.18,30-Apr-2024,https://nsearchives.nseindia.com/365d/JUBLINGREA-EQ.svg,01-Apr-2025,-1.42,https://nsearchives.nseindia.com/30d/JUBLINGREA-EQ.svg,https://nsearchives.nseindia.com/today/JUBLINGREAEQN.svg,EQ,JUBLINGREA,Jubilant Ingrevia Limited,Specialty Chemicals,"['EQ', 'T0']",[],False,False,True,False,False,[],False,False,INE0BY001018,INE0BY001018,2021-03-19,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,CREDITACC,CREDITACCEQN,1095.0,1187.9,1095.0,1159.5,1088.55,70.9,6.51,61650641999.32,1551.95,750.2,2551985,0,2974236438.1,,25.28754148007346,-54.55878432418021,-27.84,30-Apr-2024,https://nsearchives.nseindia.com/365d/CREDITACC-EQ.svg,01-Apr-2025,12.61,https://nsearchives.nseindia.com/30d/CREDITACC-EQ.svg,https://nsearchives.nseindia.com/today/CREDITACCEQN.svg,EQ,CREDITACC,CREDITACCESS GRAMEEN LIMITED,Microfinance Institutions,['EQ'],[],False,False,True,True,False,[],False,False,INE741K01010,INE741K01010,2018-08-23,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
0,SKIPPER,SKIPPEREQN,470.0,498.5,465.1,487.9,458.6,29.3,6.39,18413527679.18,665.0,262.1,2646452,0,1280644587.32,,26.631578947368425,-86.15032430370086,28.21,30-Apr-2024,https://nsearchives.nseindia.com/365d/SKIPPER-EQ.svg,01-Apr-2025,4.95,https://nsearchives.nseindia.com/30d/SKIPPER-EQ.svg,https://nsearchives.nseindia.com/today/SKIPPEREQN.svg,EQ,SKIPPER,Skipper Limited,Heavy Electrical Equipment,['EQ'],[],False,False,True,False,False,[],False,False,INE439E01022,INE439E01022,2015-05-27,False,False,02-May-2025 10:43:47,02-May-2025 09:07:22,False
